,Opponents,,,,,,,,,,,,,,,,Pass yards,,,,,,,,,,,,,,,,Pass YPA,,,,,,,,,,,,,,,,Rush Yards,,,,,,,,,,,,,,,,Rush YPA,,,,,,,,,,,,,,,,Penalty yards,,,,,,,,,,,,,,,,Turnovers,,,,,,,,,,,,,,,,3rd percentage,,,,,,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,RZ%,,,,,,,,,,,,,,,,H/a,,,,,,,,,,,,,,,,Spread,,,,,,,,,,,,,,,,Covered,,,,,,,,,,,,
NYJ,BUF,SF,IND,DEN,ARI,MIA,BUF,KC,NE,LAC,MIA,LV,SEA,,,,202,173,151,192,162,148,91,128,257,196,173,170,116,,,,6.1,5.2,4.9,3.8,4.5,3.1,3.1,4.1,9.9,6.3,5.8,6.5,4,,,,52,104,109,129,123,115,100,93,65,96,87,206,69,,,,3.5,3.6,3.8,5.4,4.4,5.2,4.5,3.7,3.6,4,3.8,6.1,3,,,,95,65,57,114,30,80,49,25,32,88,74,40,50,,,,2,0,3,0,0,1,2,1,1,1,2,3,1,,,,0.3636,0.37,0.25,0.42,0.31,0.121,0.25,0.1666,0.6,0.45,0.2307,0.545454,0.3333,,,,19,28,30,29,27,32,26,28,24,23,28,29,25,,,,0.5,1,0.5,0,0.3333,0,0.333,0,0.5,1,0,1,0,,,,0,1,0,1,1,0,1,0,1,0,1,1,0,,,,6.5,7,11.5,1,7,8.5,9.5,19.5,9,9.5,7,7.5,17.5,,,,0,0,0,0,0,0,1,0,1,1,0,1,0
SF,ARI,NYJ,NYG,PHI,MIA,LAR,NE,SEA,GB,NO,LAR,BUF,WSH,,,,243,177,327,301,128,268,270,299,282,232,233,316,236,,,,6.8,5.9,8.6,6,3.2,8.1,10.4,6.8,7.8,4.7,6.3,8.1,4.8,,,,123,182,93,116,131,122,197,52,55,49,112,86,108,,,,4.9,6.3,2.7,5.8,6.9,3.3,5.3,2.4,3.2,2,3.4,4.1,4,,,,53,59,45,42,75,63,65,36,33,51,40,43,35,,,,0,1,0,3,3,0,2,2,0,4,3,2,3,,,,0.1818,0.538,0.6666,0.4545,0.2,0.38,0.5454,0.48,0.3,0.4375,0.22,0.5454,0.27,,,,29,32,40,30,23,38,39,30,23,33,34,25,32,,,,0.25,0,0.666,0.666,0.666,1,0.8,1,0.333,0.3333,1,0.6,1,,,,1,0,0,1,1,1,0,0,1,0,0,1,1,,,,-7,-7,-3.5,-7.5,-8,2.5,2.5,1.5,6.5,9.5,5,-1.5,-5,,,,0,1,1,0,0,1,1,0,0,0,1,0,0
SEA,ATL,NE,DAL,MIA,MIN,ARI,SF,BUF,LAR,ARI,PHI,NYG,NYJ,,,,299,275,295,343,190,372,249,362,220,182,225,216,236,,,,7.9,9.2,6.7,9.5,5.3,7.2,6.4,7.9,5.1,5.9,6.8,4.5,7.2,,,,84,154,117,98,124,200,101,57,113,165,76,111,174,,,,4.2,5.1,4.5,3.8,7.8,6.7,3.6,3.4,5.1,5.8,2.5,5,4.8,,,,46,68,30,0,25,78,30,13,23,79,83,41,35,,,,0,1,0,1,1,3,0,4,3,0,0,2,1,,,,0.3333,0.4166,0.384,0.4,0,0.36,0.6,0.25,0.5,0.6,0.2,0.31,0.5454,,,,30,31,32.5,27,20,35,30,28,26,35,33,30,35,,,,1,1,1,0.666,1,0.666,1,0.75,0.3333,0.5,0.5,0,0.83,,,,0,1,1,0,1,0,1,0,0,1,0,1,1,,,,1,-4,-5.5,-6.5,-6.5,-3.5,-1.5,-3,2.5,-3.5,-6.5,-10.5,-17.5,,,,1,1,1,1,0,0,1,0,0,1,0,0,1
LAR,DAL,PHI,BUF,NYG,WSH,SF,CHI,MIA,SEA,TB,SF,ARI,NE,,,,244,445,461,481,276,247,59,132,220,196,187,277,171,,,,8.4,9.2,9.1,5.4,9.7,5.2,6.2,5.4,7.1,7.4,5.5,7.2,5.1,,,,136,125,61,85,126,97,83,133,144,180,60,111,101,,,,3.8,4.9,5.2,2.5,3.7,5.9,4.7,2.2,3.7,1.9,4.5,3.8,5.2,,,,34,24,30,5,60,34,46,45,49,65,27,75,35,,,,1,1,2,1,1,1,1,4,1,2,4,1,1,,,,0.53,0.583,0.6,0.37,0.4,0.333,0.31,0.411,0.6,0.53,0.31,0.6,0.214,,,,36,31,32,27,36,22,32,36,34,33,26,39,32,,,,0.4,0.8,0.75,0.5,0.75,0.333,0.75,0.5,0.75,1,1,0.5,0.6666,,,,0,1,0,1,1,1,0,0,1,0,1,0,0,,,,-1,1.5,2.5,-10.5,-10,-2.5,-6.5,-3.5,-2.5,4,-5,-2.5,-4.5,,,,1,1,0,0,1,0,1,0,1,1,0,1,1
ARI,SF,WSH,DET,CAR,NYJ,DAL,SEA,MIA,BUF,SEA,NE,LAR,NYG,,,,262,220,165,159,211,108,165,256,184,231,244,100,231,,,,5.3,6.8,7.4,4.2,9.7,7.1,7.5,9.8,6.7,5.7,4.4,3.4,6.4,,,,29,75,66,136,89,132,160,101,166,151,142,190,78,,,,5,5,3.3,5.6,4.2,7.5,4.8,4.8,6.2,3.2,4.1,4.4,3.7,,,,102,97,38,29,59,43,40,71,40,115,60,21,50,,,,1,1,3,1,1,0,2,1,2,0,1,2,0,,,,0.5,0.411,0.4,0.3333,0.4166,0.48,0.37,0.4166,0.384,0.5454,0.41,0.3333,0.3888,,,,31,33.45,27,23,33,27,25,30,30,25,34,21,38,,,,1,0.5,1,1,1,0.75,0.6,0.6666,0.5,1,0.6666,1,0.28,,,,1,0,1,0,0,1,0,1,0,1,0,0,1,,,,7,-7.5,-5,-3,-7,1,3.5,-6,-2,3.5,-1,2.5,-3,,,,1,1,0,0,1,1,1,0,0,0,0,0,1
NO,TB,LV,GB,DET,LAC,CAR,CHI,TB,SF,ATL,DEN,ATL,PHI,,,,189,312,275,228,313,277,272,282,123,210,63,217,262,,,,5.9,8.2,7.2,8.4,6.3,7.3,6.5,7.8,5.7,8.1,3.3,5.8,6.1,,,,82,112,122,164,95,138,122,138,114,166,229,207,96,,,,2.4,5.9,6.1,3.9,3.8,4.8,4.1,3.7,3.8,4.6,5.2,5.8,4.8,,,,119,129,83,57,10,50,45,28,61,35,35,79,52,,,,0,0,1,1,1,1,0,2,2,1,1,1,2,,,,0.333,0.6363,0.4545,0.714,0.333,0.83,0.15,0.642,0.1666,0.3636,0.4666,0.48,0.42,,,,31,23,28,37,35,35,31,40,27,34,36,37,30,,,,0.5,0.75,0.5,1,0.666,0.75,0.25,0.71,0.75,0.75,1,0.6,1,,,,1,0,1,0,1,1,0,0,1,1,0,0,0,,,,-3.5,-4,-3,-4,-9,-7,-4,3,-9.5,-3.5,-17,-2.5,-7.5,,,,1,0,0,1,0,0,0,1,1,1,1,1,0
TB,NO,CAR,DEN,LAC,CHI,GB,LV,NYG,NO,CAR,LAR,KC,MIN,,,,244,217,285,369,233,166,369,263,186,334,209,342,196,,,,5.7,6.2,7.1,8,5.3,5.9,8.2,6.3,4.5,8.4,4.3,8.1,8.5,,,,86,122,68,115,106,158,85,81,8,210,42,75,107,,,,3.3,5.5,2.7,4.3,5.3,4.5,3.4,3.4,1.6,5.7,2.3,5.8,4.1,,,,103,37,71,90,109,0,20,20,39,30,7,57,34,,,,3,2,0,1,1,0,0,1,3,1,2,2,0,,,,0.384,0.4545,0.5,0.45,0.28,0.425,0.58,0.3333,0.1111,0.625,0.5,0.3333,0.4545,,,,29,26,33,34.55,31,28,29,30,20,36,27,23,21,,,,1,0.666,0.5,0.8,0.3333,1,0.83,0.6666,0,0.5,1,0.5,0.6666,,,,0,1,0,1,0,1,0,0,1,0,1,1,1,,,,3.5,-8,-7,-6.5,-3.5,3,-4,-12.5,-3,-6.5,-4,3.5,-6.5,,,,0,1,1,1,0,1,1,0,0,1,0,1,1
CAR,LV,TB,LAC,ARI,ATL,CHI,NO,ATL,KC,TB,DET,MIN,DEN,,,,259,340,221,276,313,191,246,157,331,122,258,267,245,,,,7.4,7.2,7.4,7.5,8.7,5.8,8.5,5.2,6.4,3.9,7.2,7.4,5.6,,,,129,87,81,168,124,112,37,147,104,65,116,107,125,,,,4.3,3.6,3.9,4.8,4.6,3.9,2.6,6.7,4.3,4.1,3.4,3.8,6,,,,65,77,30,72,25,69,5,30,82,40,45,58,48,,,,0,4,0,1,0,3,0,1,0,1,2,1,0,,,,0.538,0.5454,0.25,0.6363,0.5,0.2307,0.6666,0.2,0.43,0.1111,0.215,0.42,0.428,,,,28,34,28.49,37,33,31,25,24,38,24,37,29,30,,,,0.666,0.5,0.16,0.8,0.5,0.333,1,1,4,1,0.4,0,0.6,,,,1,0,0,1,0,1,0,1,0,1,1,0,1,,,,2,8,6.5,3,2.5,-1.5,7,-1.5,10,6.5,1,2.5,-4,,,,0,0,1,1,1,0,1,0,1,0,1,1,0
ATL,SEA,DAL,CHI,GB,CAR,MIN,DET,CAR,DEN,NO,LV,NO,LAC,,,,434,267,227,249,207,363,322,270,271,196,179,262,249,,,,7.8,7,5.7,5.8,5.3,8.6,7.3,8.4,7.3,4.2,4.5,6.2,7.1,,,,72,113,144,78,166,99,66,131,92,52,125,70,70,,,,3.4,3.3,5.8,3.1,6.9,2.7,2.5,3.6,2.9,3.7,3.9,3.3,3.5,,,,72,51,75,23,40,25,53,63,61,53,49,15,35,,,,2,0,1,0,1,1,1,1,1,2,1,1,3,,,,0.5,0.48,0.305,0.25,0.48,0.58,0.5,0.3333,0.461,0.12,0.47,0.38,0.75,,,,30,34,25,30,27,40,31,36,33,26,35,23,34,,,,0.75,0.5,0.5,0.666,0,0.666,0.75,0.3333,0.5,0,0.6,0.25,0.333,,,,1,0,1,0,1,0,1,0,1,0,1,1,0,,,,-1,3,-2.5,5,-2.5,3.5,-1.5,1.5,-4.5,3.5,3.5,2.5,1.5,,,,0,1,0,0,0,0,0,1,1,0,1,0,0
DET,CHI,GB,ARI,NO,JAC,ATL,IND,MIN,WSH,CAR,HOU,CHI,GB,,,,288,218,232,191,223,322,297,292,267,145,279,400,242,,,,6.7,5.9,6.6,5.6,7.2,8.5,6.3,6.2,7.9,3.8,5.9,9.1,5.5,,,,138,89,90,90,180,64,29,129,105,40,109,60,51,,,,4.8,4.2,4,4.1,4.6,3,2.2,4.8,5,2.4,3.8,2.7,3.4,,,,77,70,46,49,60,50,76,37,55,20,44,45,30,,,,1,1,0,1,1,0,2,3,0,1,3,1,0,,,,0.37,0.5,0.333,0.5,0.25,0.3,0.5,0.5,0.4,0.3333,0.461,0.5454,0.5,,,,30.55,25,33,23,36,29,22,30,24,23,34,28,24.5,,,,0.4,1,0.333,0.8,0.8,0.6666,0.66666,0.4,0.5,0,0.75,1,0.75,,,,1,0,0,1,0,0,1,0,1,0,1,0,1,,,,-3,8,5,4,-3,1.5,3.5,3,-2.5,-1,3,3,-7.5,,,,0,0,1,0,1,1,0,0,1,0,0,1,1
CHI,DET,NYG,ATL,IND,TB,CAR,LAR,NO,TEN,MIN,GB,DET,HOU,,,,214,169,307,241,208,198,230,233,319,108,229,249,241,,,,5.8,5.3,5.8,5.6,4.6,5.1,5.2,5.1,5.8,3.3,4.7,6.9,6.7,,,,149,135,130,28,35,63,49,96,56,41,121,140,169,,,,5.3,4.2,5.2,1.8,2.5,2.5,2.9,4.2,2.8,2.4,7.6,4.5,7.3,,,,48,48,80,103,66,92,46,53,35,5,45,20,44,,,,0,2,2,1,1,1,1,1,2,2,3,1,0,,,,0.18,0.57,0.28,0.285,0.3,0.5,0.29,0.3333,0.142,0.1818,0.4,0.3636,0.3,,,,29.05,34.5,35,27,28,29,28,29,33,24,22,32,30,,,,0.5,0.5,0.5,0.5,0.6666,0.5,0,0.5,0.6666,0,0.75,1,0.5,,,,0,1,0,1,1,0,0,1,0,1,0,1,1,,,,3,-5.5,2.5,3.5,3.5,1.5,6.5,4,6,3,8,-3,1,,,,1,0,1,0,1,1,0,1,0,0,0,0,1
MIN,GB,IND,TEN,HOU,SEA,ATL,GB,DET,CHI,DAL,CAR,JAC,TB,,,,248,95,238,248,248,333,151,212,286,305,291,275,173,,,,9.2,3.3,8.2,9.3,5.9,9,10.1,10.1,7.7,9.5,6.2,5.9,4,,,,134,80,226,162,201,32,173,275,99,125,96,145,162,,,,6.1,4.4,6.8,4.1,4.9,2.5,5.1,8.1,3,4.3,4,3.8,4.9,,,,20,45,20,36,55,30,36,69,35,80,52,41,71,,,,1,3,3,0,2,3,0,0,2,2,3,2,1,,,,0.5,0.222222,0.4,0.4166,0.416,0.3,0.4,0.4,0.54,0.6,0.44,0.4375,0.3333,,,,18,21,28,36,40,20,28,30,36,32,31,32,39,,,,0.75,0.5,1,0.8,0.75,0.666,1,0.75,0.666,1,0.75,0.5,0.5,,,,1,0,1,0,0,1,0,1,0,1,1,1,0,,,,-2.5,3.5,2.5,3.5,6.5,-3.5,7,-3,-3,-7,-2.5,-10.5,6.5,,,,0,0,1,1,1,1,1,1,1,0,0,0,0
GB,MIN,DET,NO,ATL,TB,HOU,MIN,SF,JAC,IND,CHI,PHI,DET,,,,364,229,271,315,107,283,291,294,315,301,211,288,290,96,,,8.3,7.4,8.2,9.3,2.7,8.3,6.9,9.2,9,7.6,7.3,8,8.8,,,,158,259,98,88,94,96,109,111,80,66,182,149,120,,,,4.9,7.2,3.8,3.4,4.5,3.6,4.5,3.6,3.2,3.7,4.7,6,3.9,,,,63,60,10,30,76,40,85,45,35,45,17,30,68,,,,0,0,0,0,2,0,1,2,2,4,0,0,0,,,,0.5454,0.5,0.4545,0.5454,0.411,0.5833,0.4545,0.5,0.384,0.4444,0.5454,0.4166,0.7272,,,,42,35,32,30,32,29,32,37,32,27,38,32,35.5,,,,0.5,0.6,0.8,0.75,1,1,1,0.666,0.5,0.75,0.8,1,1,,,,0,1,0,1,0,0,1,0,1,0,1,1,0,,,,2.5,-8,3,-5,-3,-3,-7,-6.5,-13.5,1.5,-8,-8,7.5,,,,1,1,1,1,0,1,0,1,1,0,1,1,0
NYG,PIT,CHI,SF,LAR,DAL,WSH,PHI,TB,WSH,PHI,CIN,SEA,ARI,,,,262,220,165,159,211,108,165,256,184,231,244,100,81,,,,6,5,4.9,3.9,6,5.4,5,5.7,4.7,7.5,6.4,4.2,2.5,,,,29,75,66,136,89,132,160,101,166,151,142,190,78,,,,1.5,4.2,4.4,5.4,3.3,5.1,7.3,4.2,4.7,7.5,3.4,6.1,4.6,,,,25,10,28,20,81,30,62,73,40,64,51,35,50,,,,2,2,3,1,1,1,3,2,0,0,1,1,3,,,,0.5333,0.23,0.4,0.31,0.5386,0.6363,0.3,0.3636,0.4,0.3571,0.42,0.25,0.25,,,,28,25.5,20,33,32.22,26.3,27.22,30,36.27,31.34,37,30,22,,,,0.3333,0.3333,0,0,0.6667,0,1,0.75,1,0.6667,0.333,0.666,1,,,,1,0,1,0,0,1,0,1,0,1,0,0,1,,,,6,5.5,3.5,10.5,7.5,-2.5,5,12.5,3,4.5,-6.5,10.5,3,,,,0,1,0,1,1,1,1,1,1,1,0,1,0
DAL,LAR,ATL,SEA,CLE,NYG,ARI,WSH,PHI,PIT,MIN,WSH,BAL,CIN,,,,244,445,461,481,276,247,59,132,220,196,187,277,171,,,,5.8,8.9,7.8,7.9,7.9,4.3,2.1,3,5.5,5.9,4.8,5.7,6.8,,,,136,125,61,85,126,97,83,133,144,180,60,111,101,,,,5,4,2.9,4.7,4.3,3.6,3.2,3.8,4.6,5.8,3.3,7.9,4,,,,50,75,59,65,49,36,49,79,70,30,45,58,30,,,,0,3,2,3,2,4,1,2,2,1,2,1,0,,,,0.25,0.53,0.48,0.5454,0.5556,0.4,0.25,0.25,0.481,0.4545,0.3076,0.4,0.4545,,,,24,26,27.5,27,27.38,33,23.36,32.5,33,28.11,24.04,33,25,,,,0.5,0.8333,1,0.6666,0.6,0.333,0,0,0,0.75,0,0.5,0.5,,,,0,1,0,1,1,1,0,0,1,0,1,0,0,,,,1,-3,5.5,-3.5,-7.5,-1,3.5,9.5,14,7,-2.5,9,-3,,,,0,0,0,0,0,0,0,0,1,1,0,0,1
PHI,WSH,LAR,CIN,SF,PIT,BAL,NYG,DAL,NYG,CLE,SEA,GB,NO,,,,208,242,206,174,242,170,346,103,190,209,180,161,167,,,,4.2,5.6,4.1,5.6,5.9,5.8,7.5,3.2,4.8,5.2,3.5,4.7,5.6,,,,57,121,172,93,94,194,96,119,156,106,70,117,246,,,,3.4,4.7,4.8,3.3,5.9,10.8,3.7,4.6,6.8,4.2,5,4.7,6.8,,,,20,30,93,25,84,20,75,28,74,33,79,40,27,,,,3,3,2,1,2,1,1,4,0,3,1,1,1,,,,0.3571,0.583,0.476,0.31,0.714,0.25,0.3076,0.375,0,0.1666,0.48,0.3076,0.31,,,,30.29,29,33,30,25,23,32.38,27.1,28.17,29,27,28.21,30,,,,0.5,0.666,0.5,0.5,1,1,0.375,1,1,0.5,0.333,0,0.6666,,,,0,1,1,0,0,1,1,1,0,0,1,0,1,,,,-5.5,-1.5,-5.5,7.5,7.5,10,-5,-9.5,-4.5,2.5,6.5,8,7.5,,,,0,0,0,1,0,1,0,1,0,0,1,0,1
WSH,PHI,ARI,CLE,BAL,LAR,NYG,DAL,NYG,DET,CIN,DAL,PIT,SF,,,,159,199,206,274,70,251,189,365,375,161,156,273,95,,,,4.7,5.4,5.2,5.7,1.8,5.6,7,8.9,6.6,6,5.2,5.8,2.8,,,,80,117,103,69,38,86,208,37,89,164,182,45,98,,,,2.2,5.1,4.7,3.1,2.7,3.6,5.3,4.1,3.4,4.8,5.1,2.1,3.5,,,,55,42,40,20,40,50,30,45,58,31,53,62,30,,,,0,2,5,1,0,2,0,5,1,1,1,0,1,,,,0.28,0.33,0.45,0.3,0.13,0.5333333333,0.6,0.375,0.47,0.307,0.5384,0.235,0.2,,,,29.21,26.15,26.23,30.38,24,33.3,36.24,23.33,36,30,35.56,30,28,,,,0.75,0.3333,1,0.6666,1,0.3333,0.5,0.3333,0.75,0.5,0.5,0.6666,0,,,,1,0,0,1,1,0,1,1,0,1,0,0,0,,,,5.5,7.5,7,13,10,2.5,-3.5,-3,2.5,-1.5,2.5,6,5,,,,1,0,1,0,0,1,1,0,0,1,1,1,1